estar, ns, pret. perfecto;estar;być;ns;pret_perfecto;hemos estado;;False;
estar, vs, pret. perfecto;estar;być;vs;pret_perfecto;habéis estado;;False;
estar, ellos, pret. perfecto;estar;być;ellos;pret_perfecto;han estado;;False;
ir, yo, presente;ir;iść;yo;presente;voy;idę;True;
ir, tu, presente;ir;iść;tu;presente;vas;idziesz;True;
ir, el, presente;ir;iść;el;presente;va;idzie;True;
ir, ns, presente;ir;iść;ns;presente;vamos;idziemy;True;
ir, vs, presente;ir;iść;vs;presente;vais;idziecie;True;
ir, ellos, presente;ir;iść;ellos;presente;van;idą;True;
ir, yo, pret. indefinido;ir;iść;yo;pret_indefinido;fui;szedłem;True;
ir, tu, pret. indefinido;ir;iść;tu;pret_indefinido;fuiste;szedłeś;True;
ir, el, pret. indefinido;ir;iść;el;pret_indefinido;fue;szedł;True;
ir, ns, pret. indefinido;ir;iść;ns;pret_indefinido;fuimos;szliśmy;True;
ir, vs, pret. indefinido;ir;iść;vs;pret_indefinido;fuisteis;szliście;True;
ir, ellos, pret. indefinido;ir;iść;ellos;pret_indefinido;fueron;szli;True;
ir, yo, pret. perfecto;ir;iść;yo;pret_perfecto;he ido;;False;
ir, tu, pret. perfecto;ir;iść;tu;pret_perfecto;has ido;;False;
ir, el, pret. perfecto;ir;iść;el;pret_perfecto;ha ido;;False;
ir, ns, pret. perfecto;ir;iść;ns;pret_perfecto;hemos ido;;False;
ir, vs, pret. perfecto;ir;iść;vs;pret_perfecto;habéis ido;;False;
ir, ellos, pret. perfecto;ir;iść;ellos;pret_perfecto;han ido;;False;
lavarse, yo, presente;lavarse;myć się;yo;presente;me lavo;myję się;False;
lavarse, tu, presente;lavarse;myć się;tu;presente;te lavas;myjesz się;False;
lavarse, el, presente;lavarse;myć się;el;presente;se lava;myje się się;False;
lavarse, ns, presente;lavarse;myć się;ns;presente;nos lavamos;myjemy się się;False;
lavarse, vs, presente;lavarse;myć się;vs;presente;os laváis;myjecie się;False;
lavarse, ellos, presente;lavarse;myć się;ellos;presente;se lavan;myją się;False;
lavarse, yo, pret. indefinido;lavarse;myć się;yo;pret_indefinido;me lavé;myłem się się;False;
lavarse, tu, pret. indefinido;lavarse;myć się;tu;pret_indefinido;te lavaste;myłeś się się;False;
lavarse, el, pret. indefinido;lavarse;myć się;el;pret_indefinido;se lavó;mył się się;False;
lavarse, ns, pret. indefinido;lavarse;myć się;ns;pret_indefinido;nos lavamos;myliśmy się się;False;
lavarse, vs, pret. indefinido;lavarse;myć się;vs;pret_indefinido;os lavasteis;myliście się się;False;
lavarse, ellos, pret. indefinido;lavarse;myć się;ellos;pret_indefinido;se lavaron;myli się się;False;
lavarse, yo, pret. perfecto;lavarse;myć się;yo;pret_perfecto;me he lavado;;False;
lavarse, tu, pret. perfecto;lavarse;myć się;tu;pret_perfecto;te has lavado;;False;
lavarse, el, pret. perfecto;lavarse;myć się;el;pret_perfecto;se ha lavado;;False;
lavarse, ns, pret. perfecto;lavarse;myć się;ns;pret_perfecto;nos hemos lavado;;False;
lavarse, vs, pret. perfecto;lavarse;myć się;vs;pret_perfecto;os habéis lavado;;False;
